,date,new_cases,new_cases_smoothed,new_cases_per_million,new_deaths,new_deaths_smoothed,new_deaths_per_million
0,2020-03-31,2404.7638888888887,1538.3134444444445,7.108638888888889,46.208333333333336,25.271847222222224,0.13663888888888887
1,2020-06-30,26741.428571428572,26039.981153846154,79.04887912087912,1372.7802197802198,1360.8492857142858,4.058054945054945
2,2020-09-30,50113.815217391304,50152.32138043478,148.1386956521739,890.3152173913044,899.4285543478261,2.6318260869565218
3,2020-12-31,134353.27173913043,129908.33697826088,397.15426086956523,1541.7934782608695,1481.576043478261,4.5575978260869565
4,2021-03-31,116989.85555555555,120848.29998888889,345.8272666666667,2236.0666666666666,2291.7285555555554,6.609944444444444
5,2021-06-30,35160.42857142857,36779.50389010989,103.93580219780219,523.8351648351648,540.9042307692308,1.5484285714285715
6,2021-09-30,105140.77173913043,102092.02486956523,310.80082608695653,1035.1304347826087,983.925445652174,3.059891304347826
7,2021-12-31,114728.95652173914,106132.87110869566,339.14395652173914,1335.9130434782608,1344.7205217391304,3.949032608695652
8,2022-03-31,287196.23333333334,298754.4889333333,848.9649222222222,1783.7865168539327,1806.499213483146,5.2729887640449435
9,2022-06-30,76131.87912087912,73506.60435164835,225.0491978021978,363.74725274725273,370.0298351648351,1.0752637362637363
10,2022-09-30,94138.32608695653,95996.04809782609,278.2771195652174,430.7391304347826,424.8524239130435,1.27325
11,2022-12-31,48271.97826086957,46706.08543478261,142.69415217391304,373.39130434782606,371.1832282608696,1.1037934782608696
12,2023-03-31,40687.03896103896,42915.86445454546,120.27272727272727,422.2597402597403,425.88499999999993,1.2481948051948053
