# CSV-File created with merge-csv.com
# -----------------------------------------------------------

id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
2781,AVNS,"[avanos,medical,inc]","[avanos,medical,inc,common,stock]","Avanos Medical, Inc.",Avanos Medical Inc. Common Stock,0.6
32231,CMCO,"[columbus,mckinnon,corporation]","[columbus,mckinnon,corporation,common,stock]",Columbus McKinnon Corporation,Columbus McKinnon Corporation Common Stock,0.6
6336,TCS,"[the,container,store]","[container,store,the,common,stock]",The Container Store,Container Store (The) Common Stock,0.6
18685,MEI,"[methode,electronics,inc]","[methode,electronics,inc,common,stock]","Methode Electronics, Inc.",Methode Electronics Inc. Common Stock,0.6
19366,F,"[ford,motor,company]","[ford,motor,company,common,stock]",Ford Motor Company,Ford Motor Company Common Stock,0.6
20499,SUP,"[superior,industries,international,inc]","[superior,industries,international,inc,common,stock,de]","Superior Industries International, Inc.",Superior Industries International Inc. Common Stock (DE),0.5714285714285714
2203,NEWR,"[new,relic,inc]","[new,relic,inc,common,stock]","New Relic, Inc.",New Relic Inc. Common Stock,0.6
7116,BBWI,"[bath,body,works]","[bath,body,works,inc]",Bath & Body Works,Bath & Body Works Inc.,0.75
9365,AQMS,"[aqua,metals,inc]","[aqua,metals,inc,common,stock]","Aqua Metals, Inc.",Aqua Metals Inc. Common Stock,0.6
16171,AAP,"[advance,auto,parts]","[advance,auto,parts,inc]",Advance Auto Parts,Advance Auto Parts Inc.,0.75
14671,TROW,"[t,rowe,price,group,inc]","[t,rowe,price,group,inc,common,stock]","T. Rowe Price Group, Inc.",T. Rowe Price Group Inc. Common Stock,0.7142857142857143
19042,WST,"[west,pharmaceutical,services,inc]","[west,pharmaceutical,services,inc,common,stock]","West Pharmaceutical Services, Inc.",West Pharmaceutical Services Inc. Common Stock,0.6666666666666666
40135,JPM,"[jp,morgan,chase,co]","[jp,morgan,chase,co,common,stock]",JP Morgan Chase & Co,JP Morgan Chase & Co. Common Stock,0.6666666666666666
7017,RXDX,"[prometheus,biosciences,inc]","[prometheus,biosciences,inc,common,stock]","Prometheus Biosciences, Inc.",Prometheus Biosciences Inc. Common Stock,0.6
7095,BJRI,"[bj,s,restaurants,inc]","[bj,s,restaurants,inc,common,stock]","BJ's Restaurants, Inc",BJ's Restaurants Inc. Common Stock,0.6666666666666666
10489,BHE,"[benchmark,electronics,inc]","[benchmark,electronics,inc,common,stock]","Benchmark Electronics, Inc.",Benchmark Electronics Inc. Common Stock,0.6
32338,BBWI,"[bath,body,works,brand,management,inc]","[bath,body,works,inc]","Bath & Body Works Brand Management, Inc.",Bath & Body Works Inc.,0.6666666666666666
6737,AEO,"[american,eagle,outfitters,inc]","[american,eagle,outfitters,inc,common,stock]","American Eagle Outfitters, Inc.",American Eagle Outfitters Inc. Common Stock,0.6666666666666666
10118,TXN,"[texas,instruments,incorporated]","[texas,instruments,incorporated,common,stock]",Texas Instruments Incorporated,Texas Instruments Incorporated Common Stock,0.6
17266,A,"[agilent,technologies,inc]","[agilent,technologies,inc,common,stock]","Agilent Technologies, Inc",Agilent Technologies Inc. Common Stock,0.6
25121,IBM,"[international,business,machines,corporation,ibm]","[international,business,machines,corporation,common,stock]",International Business Machines Corporation (IBM),International Business Machines Corporation Common Stock,0.5714285714285714
35968,SMP,"[standard,motor,products,inc]","[standard,motor,products,inc,common,stock]","Standard Motor Products, Inc.",Standard Motor Products Inc. Common Stock,0.6666666666666666
36421,LXRX,"[lexicon,pharmaceuticals,inc]","[lexicon,pharmaceuticals,inc,common,stock]","Lexicon Pharmaceuticals, Inc.",Lexicon Pharmaceuticals Inc. Common Stock,0.6
4921,DRI,"[darden,restaurants,inc]","[darden,restaurants,inc,common,stock]","Darden Restaurants, Inc. -",Darden Restaurants Inc. Common Stock,0.6
12018,DFS,"[discover,financial,services]","[discover,financial,services,common,stock]",Discover Financial Services,Discover Financial Services Common Stock,0.6
28263,VECO,"[veeco,instruments,inc]","[veeco,instruments,inc,common,stock]",Veeco Instruments Inc.,Veeco Instruments Inc. Common Stock,0.6
794,TRN,"[trinity,industries,inc]","[trinity,industries,inc,common,stock]","TRINITY INDUSTRIES, INC.",Trinity Industries Inc. Common Stock,0.6
9110,UEIC,"[universal,electronics,inc]","[universal,electronics,inc,common,stock]","Universal Electronics, Inc.",Universal Electronics Inc. Common Stock,0.6
1978,CRC,"[california,resources,corporation]","[california,resources,corporation,common,stock]",California Resources Corporation,California Resources Corporation Common Stock,0.6
27314,FLWS,"[1,800,flowers,com,inc]","[1,800,flowers,com,inc,common,stock]","1-800-Flowers.com, Inc.",1-800-FLOWERS.COM Inc. Common Stock,0.7142857142857143
43941,TIL,"[instil,bio,inc]","[instil,bio,inc,common,stock]","Instil Bio, Inc.",Instil Bio Inc. Common Stock,0.6
7204,PAG,"[penske,automotive,group,inc]","[penske,automotive,group,inc,common,stock]","Penske Automotive Group, Inc.",Penske Automotive Group Inc. Common Stock,0.6666666666666666
11187,TTMI,"[ttm,technologies,inc]","[ttm,technologies,inc,common,stock]","TTM Technologies, Inc.",TTM Technologies Inc. Common Stock,0.6
38495,EA,"[electronic,arts,inc]","[electronic,arts,inc,common,stock]",Electronic Arts Inc,Electronic Arts Inc. Common Stock,0.6
41099,EL,"[the,estee,lauder,companies,inc]","[estee,lauder,companies,inc,the,common,stock]",The Estee Lauder Companies Inc.,Estee Lauder Companies Inc. (The) Common Stock,0.7142857142857143
8962,BZFDW,"[buzzfeed,inc]","[buzzfeed,inc,warrant]","Buzzfeed, Inc.",BuzzFeed Inc. Warrant,0.6666666666666666
40322,KDP,"[keurig,dr,pepper,inc]","[keurig,dr,pepper,inc,common,stock]",Keurig Dr Pepper Inc.,Keurig Dr Pepper Inc. Common Stock,0.6666666666666666
17827,ADM,"[adm,archer,daniels,midland,company]","[archer,daniels,midland,company,common,stock]",Adm/archer Daniels Midland Company,Archer-Daniels-Midland Company Common Stock,0.5714285714285714
37777,SXC,"[suncoke,energy,inc]","[suncoke,energy,inc,common,stock]","Suncoke Energy, Inc.",SunCoke Energy Inc. Common Stock,0.6
