id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
8622,DVAX,"[dynavax,technologies,corporation]","[dynavax,technologies,corporation,common,stock]",Dynavax Technologies Corporation,Dynavax Technologies Corporation Common Stock,0.6
5596,JAKK,"[jakks,pacific,inc]","[jakks,pacific,inc,common,stock]","JAKKS Pacific, Inc.",JAKKS Pacific Inc. Common Stock,0.6
17725,HVT,"[haverty,furniture,companies,inc]","[haverty,furniture,companies,inc,common,stock]","Haverty Furniture Companies, Inc.",Haverty Furniture Companies Inc. Common Stock,0.6666666666666666
24662,MTB,"[m,t,bank,corporation]","[m,t,bank,corporation,common,stock]",M&T Bank Corporation,M&T Bank Corporation Common Stock,0.6666666666666666
29071,MTSI,"[macom,technology,solutions,inc]","[macom,technology,solutions,holdings,inc,common,stock]",MACOM Technology Solutions Inc.,MACOM Technology Solutions Holdings Inc. Common Stock,0.5714285714285714
39550,CAG,"[conagra,brands,inc]","[conagra,brands,inc,common,stock]","Conagra Brands, Inc.",ConAgra Brands Inc. Common Stock,0.6
31992,LOW,"[lowe,s,companies,inc]","[lowe,s,companies,inc,common,stock]","Lowe's Companies, Inc.",Lowe's Companies Inc. Common Stock,0.6666666666666666
14840,BKD,"[brookdale,senior,living,inc]","[brookdale,senior,living,inc,common,stock]","Brookdale Senior Living, Inc",Brookdale Senior Living Inc. Common Stock,0.6666666666666666
42687,HRTX,"[heron,therapeutics,inc]","[heron,therapeutics,inc,common,stock]","Heron Therapeutics, Inc.",Heron Therapeutics Inc. Common Stock,0.6
43976,CSGP,"[costar,group,inc]","[costar,group,inc,common,stock]","CoStar Group, Inc.",CoStar Group Inc. Common Stock,0.6
14239,ABG,"[asbury,automotive,group,inc]","[asbury,automotive,group,inc,common,stock]","Asbury Automotive Group, Inc.",Asbury Automotive Group Inc Common Stock,0.6666666666666666
16610,BJ,"[bj,s,wholesale,club,inc]","[bj,s,wholesale,club,holdings,inc,common,stock]","Bj's Wholesale Club, Inc.",BJ's Wholesale Club Holdings Inc. Common Stock,0.625
18439,ASRT,"[assertio,holdings,inc]","[assertio,holdings,inc,common,stock]","Assertio Holdings, Inc.",Assertio Holdings Inc. Common Stock,0.6
30495,GT,"[the,goodyear,tire,rubber,company]","[the,goodyear,tire,rubber,company,common,stock]",The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company Common Stock,0.7142857142857143
9895,MOH,"[molina,healthcare,inc]","[molina,healthcare,inc,common,stock]","Molina Healthcare, Inc.",Molina Healthcare Inc Common Stock,0.6
1868,M,"[macy,s,inc]","[macy,s,inc,common,stock]",Macy's Inc.,Macy's Inc Common Stock,0.6
31959,TOL,"[toll,brothers,inc]","[toll,brothers,inc,common,stock]",Toll Brothers Inc,Toll Brothers Inc. Common Stock,0.6
