id1,id2,joinKey1,joinKey2,OG-Company-Warn,OG-Company-Nasdaq,jaccard
24419,HAL,[halliburton],[halliburton],Halliburton,Halliburton Company Common Stock,1.0
24883,GS,"[goldman,sachs]","[goldman,sachs]","Goldman, Sachs & Co.",Goldman Sachs Group Inc. (The) Common Stock,1.0
2945,HWM,"[howmet,aerospace]","[howmet,aerospace]",Howmet Aerospace,Howmet Aerospace Inc. Common Stock,1.0
32602,AAL,"[american,airlines]","[american,airlines]",American Airlines,American Airlines Group Inc. Common Stock,1.0
33860,WFC,"[wells,fargo]","[wells,fargo]",Wells Fargo,Wells Fargo & Company Common Stock,1.0
35971,DVN,"[devon,energy,bridgeport]","[devon,energy]",Devon Energy Corporation-Bridgeport,Devon Energy Corporation Common Stock,0.6666666666666666
37817,EA,"[electronic,arts]","[electronic,arts]",Electronic Arts Inc.,Electronic Arts Inc. Common Stock,1.0
38597,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
38657,BA,[boeing],[boeing],Boeing,Boeing Company (The) Common Stock,1.0
38846,MSFT,[microsoft],[microsoft],Microsoft,Microsoft Corporation Common Stock,1.0
39124,JELD,"[jeld,wen]","[jeld,wen,holding]",Jeld Wen,JELD-WEN Holding Inc. Common Stock,0.6666666666666666
40764,MET,[metlife],[metlife],MetLife,MetLife Inc. Common Stock,1.0
10061,BA,[boeing],[boeing],Boeing Company,Boeing Company (The) Common Stock,1.0
10663,VSEC,[vse],[vse],VSE Corporation,VSE Corporation Common Stock,1.0
12913,BMY,"[bristol,myers,squibb,updated,notice]","[bristol,myers,squibb]",Bristol-Myers Squibb (Updated Notice),Bristol-Myers Squibb Company Common Stock,0.6
13671,HGV,"[hilton,grand,vacations]","[hilton,grand,vacations]",Hilton Grand Vacations,Hilton Grand Vacations Inc. Common Stock,1.0
15518,ABG,"[asbury,automotive]","[asbury,automotive]",Asbury Automotive,Asbury Automotive Group Inc Common Stock,1.0
15853,CSGP,[costar],[costar],CoStar Group,CoStar Group Inc. Common Stock,1.0
15983,COKE,"[coca,cola]","[coca,cola,consolidated]",Coca-Cola,Coca-Cola Consolidated Inc. Common Stock,0.6666666666666666
16739,LMT,"[lockheed,martin]","[lockheed,martin]",Lockheed Martin Corp.,Lockheed Martin Corporation Common Stock,1.0
17546,M,"[rich,s,macy]","[macy,s]",Rich's/macy,Macy's Inc Common Stock,0.6666666666666666
20461,IP,"[international,paper]","[international,paper]",International Paper,International Paper Company Common Stock,1.0
210,SAIC,"[science,applications,international,saic]","[science,applications,international]",SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),SCIENCE APPLICATIONS INTERNATIONAL CORPORATION Common Stock,0.75
26443,PFE,[pfizer],[pfizer],"Pfizer, Inc.",Pfizer Inc. Common Stock,1.0
28887,PFE,[pfizer],[pfizer],"Pfizer, Inc.",Pfizer Inc. Common Stock,1.0
